rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
1	spotify:track:3tv697PZNnaQN0Mn2zGhS5	Gusttavo Lima	A Gente Fez Amor - Ao Vivo	Sony Music Entertainment	1	1	138	600470	3tv697PZNnaQN0Mn2zGhS5
2	spotify:track:3Ghyp3X5Ua9ypHnBIgOObI	Henrique & Juliano	Liberdade Provisória - Live - Ibirapuera / 2019	Virgin Music Label And Artist Services (S&D)	1	2	138	551251	3Ghyp3X5Ua9ypHnBIgOObI
3	spotify:track:3PfIrDoz19wz7qK7tYeu62	Dua Lipa	Don't Start Now	Warner Records	1	3	173	481879	3PfIrDoz19wz7qK7tYeu62
4	spotify:track:2WlZuBDgLfT7Kc0admhFdg	Luísa Sonza	BRABA	Universal Music Ltda.	1	4	35	480077	2WlZuBDgLfT7Kc0admhFdg
5	spotify:track:3tc8Z4lGzOIwmIVftsxO6o	Marília Mendonça	Graveto - Ao Vivo	Som Livre	3	5	103	429079	3tc8Z4lGzOIwmIVftsxO6o
6	spotify:track:5W1kqz2l1lDX77DXBMeXZg	Matheus & Kauan	Litrão - Ao Vivo Em Recife / 2020	Universal Music Ltda.	3	6	82	417869	5W1kqz2l1lDX77DXBMeXZg
7	spotify:track:1K7WzjKDcDdVbKNGrB0gej	Major Lazer, MC Lan, Anitta, BEAM	Rave de Favela (feat. BEAM)	WM Brazil	2	8	67	389183	1K7WzjKDcDdVbKNGrB0gej
8	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	6	9	173	387379	3J5Pu25BODMex4Jpy4l6FL
9	spotify:track:60wF0XnX7A0jVpDNA5v8vi	Vytinho NG, Bianca	Tudo no Sigilo	Vytinho Ng	7	7	35	380353	60wF0XnX7A0jVpDNA5v8vi
10	spotify:track:7Ac3BmqTQoLdAt7HtZyfgN	DENNIS, Mc Don Juan	Te Prometo	Sony Music Entertainment	8	10	74	347945	7Ac3BmqTQoLdAt7HtZyfgN
11	spotify:track:2Q9TaUXNM4mNSCgJjbmsJe	Zé Neto & Cristiano	Bebi Minha Bicicleta (Coração Falido) - Ao Vivo	Som Livre	4	12	145	344898	2Q9TaUXNM4mNSCgJjbmsJe
12	spotify:track:7o9LwQmTuIDm4LyyHFIWul	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	11	11	103	338381	7o9LwQmTuIDm4LyyHFIWul
13	spotify:track:0RaIjuKU5hudMteEXwr4RS	Jorge & Mateus	Ranking	Som Livre	9	13	47	334408	0RaIjuKU5hudMteEXwr4RS
14	spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF	Gustavo Mioto	Com Ou Sem Mim - Ao Vivo	Universal Music Ltda.	5	17	152	312588	5L8ZEyIdZ2KE4Wf51SsuOF
15	spotify:track:2PWjKmjyTZeDpmOUa3a5da	Jorge & Mateus	Cheirosa - Ao Vivo	Som Livre	3	18	194	310682	2PWjKmjyTZeDpmOUa3a5da
16	spotify:track:4lKuzrdZrJuCAedbIslF3A	PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro	SENTADÃO	WM Brazil	2	16	152	310369	4lKuzrdZrJuCAedbIslF3A
17	spotify:track:3GmJxfnUDrIs1iCfKUELFz	Marília Mendonça	Supera - Ao Vivo	Som Livre	1	19	250	306322	3GmJxfnUDrIs1iCfKUELFz
18	spotify:track:1rgnBhdG2JDFTbYkYRZAku	Tones And I	Dance Monkey	Elektra (NEK)	5	14	212	304176	1rgnBhdG2JDFTbYkYRZAku
19	spotify:track:1uryupl9hqVZYurJwH4G9k	Guilherme & Benuto	3 Batidas - Ao Vivo	Sony Music Entertainment	8	20	241	293324	1uryupl9hqVZYurJwH4G9k
20	spotify:track:24Yi9hE78yPEbZ4kxyoXAI	SAINt JHN, Imanbek	Roses - Imanbek Remix	Columbia/B1 Recordings	15	15	54	291175	24Yi9hE78yPEbZ4kxyoXAI
21	spotify:track:6nI98wtHOJAYSASq22TCYu	Luan Santana	água com açúcar - ao vivo	Som Livre	17	22	37	268515	6nI98wtHOJAYSASq22TCYu
22	spotify:track:63SHcJzckFykS8faA5zojY	MC Ingryd, DJ Henrique da VK	Vem Me Satisfazer	MC Ingryd	4	21	140	264212	63SHcJzckFykS8faA5zojY
23	spotify:track:3WjSkl7VDWY1prwJw7dSG0	Zé Neto & Cristiano	Barzinho Aleatório - Ao Vivo	Som Livre	21	26	138	259473	3WjSkl7VDWY1prwJw7dSG0
24	spotify:track:146Vb458Y5RbqEa0fYFPzm	Felipe Araújo	Mentira - Ao Vivo	Universal Music Ltda.	21	28	141	256010	146Vb458Y5RbqEa0fYFPzm
25	spotify:track:4j2bK4fnc2s6GyVmhJsJhk	Henrique & Juliano	Briga Feia - Ao Vivo	Virgin Music Label And Artist Services (S&D)	23	23	131	252708	4j2bK4fnc2s6GyVmhJsJhk
26	spotify:track:2Ou6UYuUbNyqwXxRDSeFRf	Maiara & Maraisa	Aí Eu Bebo - Ao Vivo	Som Livre	13	32	187	244891	2Ou6UYuUbNyqwXxRDSeFRf
27	spotify:track:4p8pEdPYOQLzJUKYrLOacy	WC no Beat, PEDRO SAMPAIO, FP do Trem Bala	BALANÇA (feat. Pedro Sampaio)	Sony Music Entertainment	8	27	82	237259	4p8pEdPYOQLzJUKYrLOacy
28	spotify:track:0VjIjW4GlUZAMYd2vXMi3b	The Weeknd	Blinding Lights	Republic Records	23	24	116	235663	0VjIjW4GlUZAMYd2vXMi3b
29	spotify:track:2bPtwnrpFNEe8N7Q85kLHw	Anitta, Lexa, Luísa Sonza, Rebecca	Combatchy (feat. MC Rebecca)	WM Brazil	1	30	154	235604	2bPtwnrpFNEe8N7Q85kLHw
30	spotify:track:4pnlRYoaaGu24SuC3et5Pv	Yasmin Santos, Wesley Safadão	Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo	Sony Music Entertainment	30	38	218	233319	4pnlRYoaaGu24SuC3et5Pv
31	spotify:track:7eJMfftS33KTjuF7lTsMCx	Powfu, beabadoobee	death bed (coffee for your head)	Columbia	25	25	44	230056	7eJMfftS33KTjuF7lTsMCx
32	spotify:track:2PqPSf3gtTED79rWGwVtYg	Diego & Victor Hugo	Áudio - Ao Vivo em Brasília	Sony Music Entertainment	28	36	284	227874	2PqPSf3gtTED79rWGwVtYg
33	spotify:track:2MOq63fxuFLYQM3CsDcFs1	GIULIA BE	menina solta	WM Brazil	10	31	197	226730	2MOq63fxuFLYQM3CsDcFs1
34	spotify:track:017PF4Q3l4DBUiWoXk4OWT	Dua Lipa	Break My Heart	Warner Records	8	29	27	220154	017PF4Q3l4DBUiWoXk4OWT
35	spotify:track:5LpLYzpV0HWKI2DlPmNywg	Wesley Safadão, Zé Neto & Cristiano	Despedida - Ao Vivo	Som Livre	30	37	19	218337	5LpLYzpV0HWKI2DlPmNywg
36	spotify:track:4HUZBG98TYbxSR9V1V2DWS	Thiaguinho MT, Mila, JS o Mão de Ouro	Tudo Ok	Sony Music Entertainment	1	34	114	217678	4HUZBG98TYbxSR9V1V2DWS
37	spotify:track:6QwFUcPc5nhsqZuhXUYtV7	Jorge & Mateus	Tijolão - Ao Vivo	Som Livre	1	40	334	214463	6QwFUcPc5nhsqZuhXUYtV7
38	spotify:track:5fY9bVl1Wj4PIM3wnduWop	Marília Mendonça	Serenata - Ao Vivo	Som Livre	14	39	341	213039	5fY9bVl1Wj4PIM3wnduWop
39	spotify:track:1MmS7UIy3J1BTxfGCRvVqN	Gusttavo Lima	Carreira Solo - Ao Vivo	Sony Music Entertainment	21	43	173	211343	1MmS7UIy3J1BTxfGCRvVqN
40	spotify:track:72xB2J9ZeBl0Rzxq2XmzdY	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	2	41	534	208633	72xB2J9ZeBl0Rzxq2XmzdY
41	spotify:track:0nbXyq5TXYPCO7pr3N8S4I	Roddy Ricch	The Box	Atlantic Records	26	35	102	198989	0nbXyq5TXYPCO7pr3N8S4I
42	spotify:track:127QTOFJsJQp5LbJbu3A1y	Drake	Toosie Slide	OVO	33	33	19	197389	127QTOFJsJQp5LbJbu3A1y
43	spotify:track:5q0NlM6Pm8Pp3orq7zGiRn	Matheus & Kauan, Jorge & Mateus	Quarta Cadeira - Ao Vivo	Universal Music Ltda.	9	45	397	196985	5q0NlM6Pm8Pp3orq7zGiRn
44	spotify:track:5F8ffc8KWKNawllr5WsW0r	Dadá Boladão, Tati Zaqui, OIK	Surtada - Remix Brega Funk	Sony Music Entertainment	1	42	205	196107	5F8ffc8KWKNawllr5WsW0r
45	spotify:track:5n8Y78Pl5q8lqS7sJP61qw	Diego & Arnaldo	Relógio Parado (Ao Vivo)	Sony Music Entertainment	34	47	188	193802	5n8Y78Pl5q8lqS7sJP61qw
46	spotify:track:1U3tv41tFRgOfbytpuYQrR	Zé Neto & Cristiano	Ferida Curada	Som Livre	4	49	278	181242	1U3tv41tFRgOfbytpuYQrR
47	spotify:track:2uhBCMHwS3SATOHIgM2KPF	Zé Neto & Cristiano	Textão - Ao Vivo	Som Livre	44	48	54	180910	2uhBCMHwS3SATOHIgM2KPF
48	spotify:track:7vpGKEUPrA4UEsS4o4W1tP	Pabllo Vittar	Amor de Que	Sony Music Entertainment	10	44	173	180052	7vpGKEUPrA4UEsS4o4W1tP
