Position	TrackName	Artist	Streams	URL	Id
1	Arranhão - Ao Vivo	Henrique & Juliano	6858853	https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw	4u06FbRh6FvV2FQZkouzCw
2	Meu Pedaço de Pecado	João Gomes	6606611	https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6	2kJRlOyrxsy7Ot3c5TZ8Q6
3	Chega E Senta - Ao Vivo	John Amplificado	6308319	https://open.spotify.com/track/2ookQf9qP2qiBuNFnNXyfl	2ookQf9qP2qiBuNFnNXyfl
4	Quer Voar	Matuê	6011083	https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz	7aZusA4cWXz3Wv9e9uhavz
5	Você Beberia Ou Não Beberia?	Zé Neto & Cristiano	5829021	https://open.spotify.com/track/4P7IXYPAkinTdZrBF5bGWp	4P7IXYPAkinTdZrBF5bGWp
6	Bala Love	Mc Anjim	5788192	https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a	48Ll1C6qAnP2UjnopQDh4a
7	Rolê	Tarcísio do Acordeon	5457411	https://open.spotify.com/track/25141FAgU1OmwoC9W2i5E3	25141FAgU1OmwoC9W2i5E3
8	Ela e Ela	Zé Neto & Cristiano	5442293	https://open.spotify.com/track/5Yu1AOnIzC1tWRJ4U0uW7u	5Yu1AOnIzC1tWRJ4U0uW7u
9	Ficha Limpa	Gusttavo Lima	5059365	https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8	5SwyN9hzmWjBsINlif8li8
10	MORENA	Luan Santana	5028444	https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd	4PQdrXMDHDPl1RczrrlADd
11	Baby Me Atende	Matheus Fernandes	4382403	https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7	1bWBG6IkMnDr3qvCKSvQT7
12	Aquelas Coisas	João Gomes	4292797	https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M	0FqVtQxRD3HsPltldG5v5M
13	Nota de Repúdio - Ao Vivo	Gusttavo Lima	4281906	https://open.spotify.com/track/3agFBAMPiIvzfTh7a9Udm6	3agFBAMPiIvzfTh7a9Udm6
14	Zero Saudade - Ao Vivo	Os Barões Da Pisadinha	4009187	https://open.spotify.com/track/1hs2hRwPfyFLoYIf6jY1W7	1hs2hRwPfyFLoYIf6jY1W7
15	Senta Danada	Zé Felipe	3950262	https://open.spotify.com/track/2R9IrE42Mw4zdUXAEFNiZL	2R9IrE42Mw4zdUXAEFNiZL
16	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	3893120	https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK	27NovPIUIRrOZoCHxABJwK
17	Se For Amor	João Gomes	3855875	https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw	5F2xRvRFkxDvqdFtUNAEyw
18	Não Nasceu pra Namorar	MC Zaquin	3613510	https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo	6pQKUKBpwr6GhfhcFFFozo
19	Se Essa Bunda	Costa Gold	3412944	https://open.spotify.com/track/7gMWTBRgB5CZdNDSuweCyr	7gMWTBRgB5CZdNDSuweCyr
20	Localiza Aí BB	Vitor e Luan	3405324	https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah	6fe5D0ivKnpXFMAnoSRjah
21	Desbloqueado - Ao Vivo	Diego & Victor Hugo	3378950	https://open.spotify.com/track/79Wou8NwYEFzTyDQudjENF	79Wou8NwYEFzTyDQudjENF
22	A Cara do Crime (Nós Incomoda)	Mc Poze do Rodo	3370924	https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza	0wRn3ggAY1fIupTaVigdza
23	Se Joga no Passinho	Brisa Star	3337552	https://open.spotify.com/track/41pFFOnh1glVNIlrWOpBjb	41pFFOnh1glVNIlrWOpBjb
24	Eu Fiz o Jogo Virar	Mc Poze do Rodo	3309793	https://open.spotify.com/track/53BkPZwlaLbW77uV9BnJkl	53BkPZwlaLbW77uV9BnJkl
25	Cê Tá Preparada - Ao Vivo Em Goiânia / 2021	Tayrone	3251806	https://open.spotify.com/track/1tYJnXtKLoWVIL4lZOouQG	1tYJnXtKLoWVIL4lZOouQG
26	A Maior Saudade - Ao Vivo	Henrique & Juliano	3032041	https://open.spotify.com/track/5Q0ZnQjk4lQpScX7ujswun	5Q0ZnQjk4lQpScX7ujswun
27	Passinho Debochado	Dan Ventura	2981496	https://open.spotify.com/track/1tdDDOJRdbo1Uz47D1k62G	1tdDDOJRdbo1Uz47D1k62G
28	Não, Não Vou	Mari Fernandez	2966247	https://open.spotify.com/track/3jSG8oE8doxDxmpe5GlFee	3jSG8oE8doxDxmpe5GlFee
