song_id	song_name	artist_id	artist_name	popularity	explicit	song_type	track_number	num_artists	num_available_markets	release_date	duration_ms	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo
7offICpl9kla5kC61uUAs9	Bate Palma	['5GqnSMX8p2hxqsM6LqDty3', '0jTDeBJQr3unrK29LklnAv']	['MC JottaPê', 'Lexa']	50	False	Collaboration	1	2	181	2020-01-10	185600	1	0	4	0.626	0.857	0.685	0	0.206	-4.84	0.38	0.837	150.052
1dLXLETYiZohIZWnse4ypG	Better	['5ZsFI1h6hIdQRw2ti0hz81']	['ZAYN']	68	False	Solo	1	1	183	2020-09-25	174516	2	1	4	0.353	0.637	0.418	0	0.131	-7.137	0.301	0.0807	84.295
79Uf0vVa7HwWKSgdpTwtRm	Século 21	['7KVJCU4z5L4EUHILL8aMxR', '4PzYKhC14sTJNEr0dzoo0d']	['Leo Santana', 'Luísa Sonza']	50	True	Collaboration	5	2	184	2020-12-04	167838	6	1	4	0.456	0.832	0.769	0	0.407	-7.023	0.0578	0.724	132.972
3U4isOIWM3VvDubwSI3y7a	All of Me	['5y2Xq6xcjJb2jVM54GHK3t']	['John Legend']	88	False	Solo	6	1	184	2013-08-30	269560	8	1	4	0.922	0.422	0.264	0	0.132	-7.064	0.0322	0.331	119.93
78kar2tZk7655xZMibzXO3	Oi	['5D56dZmhE9DgT01XixdHiD']	['Lagum']	63	False	Solo	4	1	184	2019-06-14	175973	7	1	4	0.296	0.807	0.56	0	0.101	-9.356	0.0459	0.725	134.093
1qSikFO1BLTMyZCi2SbksV	Pray (feat. Conor Maynard)	['0NGAZxHanS9e0iNHpR8f2W', '6mU8ucezzms5I2kNH6HNlu']	['Alok', 'Conor Maynard']	45	False	Collaboration	1	2	1	2018-12-14	171529	8	1	4	0.113	0.355	0.737	0	0.218	-4.169	0.05	0.269	169.489
7cMztRE7oWfQSRN569IY7K	Namora Eu Aí	['1elUiq4X7pxej6FRlrEzjM']	['Jorge & Mateus']	69	False	Solo	14	1	181	2021-04-22	156337	0	1	4	0.411	0.689	0.805	0	0.0608	-3.884	0.104	0.961	156.129
4191RXFPa7Ge9XkA4cWlna	Lost Cause	['6qqNVTkY8uBg9cP3Jd7DAH']	['Billie Eilish']	80	True	Solo	7	1	184	2021-07-30	212496	10	0	4	0.702	0.526	0.334	0.00782	0.0586	-8.491	0.251	0.522	74.966
7uU04pPMnKELpv8mIJ3yLa	Zé da Recaída - Ao Vivo	['7MiDcPa6UiV3In7lIM71IN']	['Gusttavo Lima']	59	False	Solo	1	1	180	2018-10-26	170000	5	1	4	0.0675	0.837	0.881	0	0.728	-2.98	0.0369	0.756	134.974
1IWNylpZ477gIVUDpJL66u	Sour Candy (with BLACKPINK)	['1HY2Jd0NmPuamShAr6KMms', '41MozSoPIsD1dJM0CLPjZF']	['Lady Gaga', 'BLACKPINK']	69	False	Collaboration	10	2	184	2020-05-29	157706	9	0	4	0.0604	0.752	0.87	1.12e-05	0.489	-3.812	0.0623	0.784	120.006
70d5neqRS3VZ3vbH5ofgoy	Sarra Nela Com Fuzil Na Bandolera	['0PLUhcaPtfTkL6ckBw0btt', '38Yog5iHQZZ7BCeR7uvudl', '3xIDIb8awFTVp48OtoKEAW']	['Dj Wesley Gonzaga', 'Mc Laureta', 'Mc Cyclope']	1	False	Collaboration	1	3	0	2021-02-22	118384	6	1	1	0.433	0.76	0.452	0	0.236	-2.315	0.324	0.741	114.151
4btFHqumCO31GksfuBLLv3	Overpass Graffiti	['6eUKZXaKkcviH0Ku9w2n3V']	['Ed Sheeran']	90	False	Solo	5	1	183	2021-10-29	236906	9	0	4	0.00253	0.52	0.849	0	0.119	-3.794	0.186	0.774	175.908
3QH8rQGNFX8VLbCgZ7uPTS	Fly To My Room	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	76	False	Solo	2	1	0	2020-11-20	222242	11	1	4	0.0484	0.764	0.526	0	0.0718	-7.355	0.212	0.588	114.91
2vBET2pmrQqafaS6zIaYta	GIRL LIKE ME	['1yxSLGMDHlW21z4YXirZDS', '0EmeFodog0BfCgMzAIvKQp']	['Black Eyed Peas', 'Shakira']	65	True	Collaboration	4	2	3	2020-06-18	220659	2	1	4	0.0194	0.964	0.486	0.04	0.0694	-8.891	0.188	0.318	124.058
32lyOiqQrmCUICCcBfkBeG	Get To Know Me	['7FNnA9vBm6EKceENgCGRMb', '4AVFqumd2ogHFlRbKIjp1t']	['Anitta', 'Alesso']	47	False	Collaboration	7	2	183	2019-04-05	162139	5	1	4	0.251	0.634	0.84	0	0.623	-3.554	0.042	0.799	170.007
2Q9TaUXNM4mNSCgJjbmsJe	Bebi Minha Bicicleta (Coração Falido) - Ao Vivo	['487N2T9nIPEHrlTZLL3SQs']	['Zé Neto & Cristiano']	56	False	Solo	7	1	181	2019-12-05	181670	0	1	4	0.445	0.39	0.903	0	0.911	-3.846	0.409	0.47	195.62
4lsHZ92XCFOQfzJFBTluk8	You Got It	['3wVXTWabe3viT0jF7DfjOL']	['Vedo']	83	True	Solo	7	1	184	2020-03-27	203144	5	1	4	0.143	0.762	0.433	0	0.118	-8.937	0.187	0.394	122.074
29fRTIKsJhLUJoldM89GZS	You Need To Calm Down	['06HL4z0CvFAxyc27GXpf02']	['Taylor Swift']	21	False	Solo	1	1	1	2019-06-14	171386	2	1	4	0.00838	0.768	0.678	0	0.0596	-5.604	0.0505	0.706	85.025
5OzvtpasMB3aPWpfVr0PsA	Pode Sumir	['0UbJJayomun8CvZKCPH9j3']	['Luíza & Maurílio']	64	False	Solo	1	1	181	2020-05-08	177564	6	1	4	0.508	0.717	0.717	0	0.102	-5.03	0.0621	0.628	110.021
3COehAPIuHpBehGkzhzkW5	Joga o Laço	['3bMxoALDz4DJM8pJG0bnvs', '4JNo6Q5KdcRf1vtSX9mB0S']	['Gabi Martins', 'João Gomes']	68	False	Collaboration	1	2	184	2021-10-08	161447	6	1	4	0.205	0.619	0.908	0	0.201	-2.599	0.0434	0.751	152.077
6poj56vC9JUu1yHTsv92WA	Lo Que Tú y Yo Vivimos (feat. Gente de Zona) - Ao Vivo	['7MiDcPa6UiV3In7lIM71IN', '2cy1zPcrFcXAJTP0APWewL']	['Gusttavo Lima', 'Gente De Zona']	53	False	Collaboration	2	2	184	2019-10-04	237508	0	1	4	0.224	0.673	0.915	0	0.933	-4.002	0.102	0.41	92.013
7MAibcTli4IisCtbHKrGMh	Leave The Door Open	['0du5cEVh5yTK9QJze8zA0C', '3jK9MiCrA42lLAdMGUZpwa', '6PvvGcCY2XtUcSRld1Wilr']	['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']	89	False	Collaboration	1	3	180	2021-03-05	242096	5	1	4	0.182	0.586	0.616	0	0.0927	-7.964	0.0324	0.719	148.088
