,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4zGtfOglDBfVUypabBwIjQ,"Mc Zaac, Anitta, Tyga",Desce Pro Play (PA PA PA),Universal Music Ltda.,1,1,15,767621,4zGtfOglDBfVUypabBwIjQ,-0.918,0.049,0.935,0.016
1,2,spotify:track:0AGS6ZRgzobrazmCi6pYMe,Niack,Na Raba Toma Tapão,Niack / Ritmo dos Fluxos,1,2,57,584899,0AGS6ZRgzobrazmCi6pYMe,-0.8126,0.032,0.957,0.011
2,3,spotify:track:4cno0k9jDEFpLAQyHNjqVx,"Anitta, Arcangel, De La Ghetto",Tócame (feat. Arcangel & De La Ghetto),Warner Records,3,-1,1,487811,4cno0k9jDEFpLAQyHNjqVx,0.9552,0.061,0.846,0.093
3,4,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),2,4,183,454930,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
4,5,spotify:track:0RaIjuKU5hudMteEXwr4RS,Jorge & Mateus,Ranking,Som Livre,5,9,127,440616,0RaIjuKU5hudMteEXwr4RS,-0.89,0.045,0.955,0.0
5,6,spotify:track:4DngRKOpRPrkbzImUB0zgh,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,2,5,162,438704,4DngRKOpRPrkbzImUB0zgh,-0.7989,0.029,0.971,0.0
6,7,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,3,8,183,436419,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
7,8,spotify:track:67mqU3FeErlvWwsxnMfvQo,"MC Du Black, Delacruz",Tudo Aconteceu,Universal Music Ltda.,3,3,107,425994,67mqU3FeErlvWwsxnMfvQo,-0.9413,0.05,0.95,0.0
8,9,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,10,218,414983,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
9,10,spotify:track:60wF0XnX7A0jVpDNA5v8vi,"Vytinho NG, Bianca",Tudo no Sigilo,Vytinho Ng,3,7,115,407497,60wF0XnX7A0jVpDNA5v8vi,-0.8642,0.03,0.97,0.0
10,11,spotify:track:25gD4PQjxCLnwIY2n23aEl,"Vitão, Luísa Sonza",Flores,Universal Music Ltda.,2,6,29,406985,25gD4PQjxCLnwIY2n23aEl,-0.5267,0.013,0.987,0.0
11,12,spotify:track:3WjSkl7VDWY1prwJw7dSG0,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,Som Livre,8,14,218,404539,3WjSkl7VDWY1prwJw7dSG0,-0.5267,0.021,0.979,0.0
12,13,spotify:track:7Ac3BmqTQoLdAt7HtZyfgN,"DENNIS, Mc Don Juan",Te Prometo,Sony Music Entertainment,8,11,154,377546,7Ac3BmqTQoLdAt7HtZyfgN,-0.9874,0.021,0.965,0.013
13,14,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,1,13,218,371963,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
14,15,spotify:track:2WlZuBDgLfT7Kc0admhFdg,Luísa Sonza,BRABA,Universal Music Ltda.,1,12,115,362543,2WlZuBDgLfT7Kc0admhFdg,-0.5267,0.017,0.983,0.0
15,16,spotify:track:6NM06xgqxQ0HU5lxbt2JHi,Gusttavo Lima,Saudade Sua,Sony Music Entertainment,2,15,57,338468,6NM06xgqxQ0HU5lxbt2JHi,-0.4871,0.012,0.988,0.0
16,17,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,6,20,253,338397,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
17,18,spotify:track:08Sd5vVcIH3uKeAiaJdoYj,Lauana Prado,Viva Voz - Ao Vivo Em São Paulo / 2019,Universal Music Ltda.,17,17,127,332195,08Sd5vVcIH3uKeAiaJdoYj,0.8625,0.038,0.858,0.104
18,19,spotify:track:5GAdMAL3tRJkVN1HtwohK2,"Mc Don Juan, Maiara & Maraisa",Vai Ter Que Aguentar,GR6 Music,18,18,40,323399,5GAdMAL3tRJkVN1HtwohK2,-0.9355,0.051,0.949,0.0
19,20,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,"SAINt JHN, Imanbek",Roses - Imanbek Remix,Columbia/B1 Recordings,8,16,134,303665,24Yi9hE78yPEbZ4kxyoXAI,-0.9724,0.11,0.825,0.065
20,21,spotify:track:5LpLYzpV0HWKI2DlPmNywg,"Wesley Safadão, Zé Neto & Cristiano",Despedida - Ao Vivo,Som Livre,15,23,99,303267,5LpLYzpV0HWKI2DlPmNywg,-0.9388,0.049,0.951,0.0
21,22,spotify:track:0SJtvFn4vqgJPscSbEPaql,"Maiara & Maraisa, Dilsinho",Libera Ela - Ao Vivo,Som Livre,16,25,85,298342,0SJtvFn4vqgJPscSbEPaql,0.958,0.0,0.939,0.061
22,23,spotify:track:3oe0vGmQxem3DcarYMuzu1,Felipe Araújo,Mentira - Ao Vivo,Universal Music Ltda.,11,22,221,296564,3oe0vGmQxem3DcarYMuzu1,0.0,0.0,1.0,0.0
23,24,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,1,19,253,292624,3PfIrDoz19wz7qK7tYeu62,-0.9873,0.129,0.839,0.032
24,25,spotify:track:15k1TDabqSEmyXOwMq9RM7,Jonas Esticado,Investe Em Mim,Som Livre,25,35,14,292364,15k1TDabqSEmyXOwMq9RM7,0.0,0.0,1.0,0.0
