rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
1	spotify:track:4xWzZmX4K1yyrdtRfbUvjt	Niack	Oh Juliana	Niack	1	1	51	910224	4xWzZmX4K1yyrdtRfbUvjt
2	spotify:track:15k1TDabqSEmyXOwMq9RM7	Jonas Esticado	Investe Em Mim	Som Livre	2	2	63	696855	15k1TDabqSEmyXOwMq9RM7
3	spotify:track:4zGtfOglDBfVUypabBwIjQ	Mc Zaac, Anitta, Tyga	Desce Pro Play (PA PA PA)	Universal Music Ltda.	1	3	64	585623	4zGtfOglDBfVUypabBwIjQ
4	spotify:track:6Q9NH5cNBY58nJkp5Jbs9j	Manu Gavassi, Gloria Groove	Deve ser horrível dormir sem mim	Universal Music Ltda.	2	4	8	535304	6Q9NH5cNBY58nJkp5Jbs9j
5	spotify:track:51uXmhqGR76tT2UeKZyeN6	Marília Mendonça, Maiara & Maraisa	Quero Você do Jeito Que Quiser	Som Livre	5	6	50	492091	51uXmhqGR76tT2UeKZyeN6
6	spotify:track:0AGS6ZRgzobrazmCi6pYMe	Niack	Na Raba Toma Tapão	Niack / Ritmo dos Fluxos	1	7	106	483157	0AGS6ZRgzobrazmCi6pYMe
7	spotify:track:2fmeSswdyVq4wcqhY41UHk	Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter	Poesia Acústica #9: Melhor Forma	Pineapple StormTV	2	5	49	481455	2fmeSswdyVq4wcqhY41UHk
8	spotify:track:5GAdMAL3tRJkVN1HtwohK2	Mc Don Juan, Maiara & Maraisa	Vai Ter Que Aguentar	GR6 Music	6	8	89	479366	5GAdMAL3tRJkVN1HtwohK2
9	spotify:track:7o9LwQmTuIDm4LyyHFIWul	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	2	9	232	479230	7o9LwQmTuIDm4LyyHFIWul
10	spotify:track:4zsiMjB0794HztyqUkD3Zi	Dilsinho, Henrique & Juliano	Sogra - Ao Vivo	Sony Music Entertainment	8	13	82	476363	4zsiMjB0794HztyqUkD3Zi
11	spotify:track:2J4P46vCFm1rPkNkp9pZWX	BLACKPINK, Selena Gomez	Ice Cream (with Selena Gomez)	YG Entertainment/Interscope Records	11	-1	1	467370	2J4P46vCFm1rPkNkp9pZWX
12	spotify:track:12v6LfkX9YIR3uLefIAAYZ	Mc Jacaré	Comprei um Lança	Mc Jacare / Los Pantchos	9	11	67	457918	12v6LfkX9YIR3uLefIAAYZ
13	spotify:track:0RaIjuKU5hudMteEXwr4RS	Jorge & Mateus	Ranking	Som Livre	4	10	176	454112	0RaIjuKU5hudMteEXwr4RS
14	spotify:track:3WjSkl7VDWY1prwJw7dSG0	Zé Neto & Cristiano	Barzinho Aleatório - Ao Vivo	Som Livre	7	18	267	434329	3WjSkl7VDWY1prwJw7dSG0
15	spotify:track:67mqU3FeErlvWwsxnMfvQo	MC Du Black, Delacruz	Tudo Aconteceu	Universal Music Ltda.	3	14	156	422294	67mqU3FeErlvWwsxnMfvQo
16	spotify:track:6jcGoHrqfRW6fI2I6xtwBQ	MC Marks	Deus é por nós	WM Brazil	13	17	75	414928	6jcGoHrqfRW6fI2I6xtwBQ
17	spotify:track:25gD4PQjxCLnwIY2n23aEl	Vitão, Luísa Sonza	Flores	Universal Music Ltda.	2	15	78	405051	25gD4PQjxCLnwIY2n23aEl
18	spotify:track:7pDcS0EVMJR0YwjXmHcCRg	Luísa Sonza, Mc Zaac	TOMA	Universal Music Ltda.	9	16	29	404051	7pDcS0EVMJR0YwjXmHcCRg
19	spotify:track:0hDphSo7vI7gCjEPpD6gu0	GIULIA BE	se essa vida fosse um filme	WM Brazil	12	12	47	393693	0hDphSo7vI7gCjEPpD6gu0
20	spotify:track:260n4ECk9j4IEvTAVBYojl	Matheus & Kauan	Nem Doeu - Ao Vivo	Universal Music Ltda.	15	19	92	391552	260n4ECk9j4IEvTAVBYojl
21	spotify:track:0v1x6rN6JHRapa03JElljE	BTS	Dynamite	BIGHIT MUSIC	5	26	8	387082	0v1x6rN6JHRapa03JElljE
22	spotify:track:4DngRKOpRPrkbzImUB0zgh	Matheus & Kauan	Litrão - Ao Vivo Em Recife / 2020	Universal Music Ltda.	2	21	211	383617	4DngRKOpRPrkbzImUB0zgh
23	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	15	27	185	373617	3dPvQLKl42dMYWV4LWRTLK
24	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	6	30	302	372117	3J5Pu25BODMex4Jpy4l6FL
25	spotify:track:2WlZuBDgLfT7Kc0admhFdg	Luísa Sonza	BRABA	Universal Music Ltda.	1	20	164	364852	2WlZuBDgLfT7Kc0admhFdg
26	spotify:track:4Oun2ylbjFKMPTiaSbbCih	Cardi B, Megan Thee Stallion	WAP (feat. Megan Thee Stallion)	Atlantic/KSR	23	23	22	364843	4Oun2ylbjFKMPTiaSbbCih
27	spotify:track:71FrGl0XcpL3VId65tB5mg	Os Barões Da Pisadinha	Recairei - Ao Vivo	Sony Music Entertainment	23	33	107	361263	71FrGl0XcpL3VId65tB5mg
28	spotify:track:3tc8Z4lGzOIwmIVftsxO6o	Marília Mendonça	Graveto - Ao Vivo	Som Livre	3	28	232	356266	3tc8Z4lGzOIwmIVftsxO6o
29	spotify:track:7Ac3BmqTQoLdAt7HtZyfgN	DENNIS, Mc Don Juan	Te Prometo	Sony Music Entertainment	8	24	203	354734	7Ac3BmqTQoLdAt7HtZyfgN
30	spotify:track:3Ghyp3X5Ua9ypHnBIgOObI	Henrique & Juliano	Liberdade Provisória - Live - Ibirapuera / 2019	Virgin Music Label And Artist Services (S&D)	1	31	267	352005	3Ghyp3X5Ua9ypHnBIgOObI
31	spotify:track:3056x1XkmICnQmji68rrft	Murilo Huff, Henrique & Juliano	Desejando Eu (Ao Vivo)	Artinvox	21	32	99	349732	3056x1XkmICnQmji68rrft
32	spotify:track:60wF0XnX7A0jVpDNA5v8vi	Vytinho NG, Bianca	Tudo no Sigilo	Vytinho Ng	3	29	164	347060	60wF0XnX7A0jVpDNA5v8vi
33	spotify:track:28atBekPVlTdnU4M9Z7udd	Dilsinho, Luísa Sonza, Malibu	Não Vai Embora	Malibu Studios	23	25	113	341424	28atBekPVlTdnU4M9Z7udd
34	spotify:track:6UelLqGlWMcVH1E5c4H7lY	Harry Styles	Watermelon Sugar	Columbia	16	22	199	340025	6UelLqGlWMcVH1E5c4H7lY
35	spotify:track:3tv697PZNnaQN0Mn2zGhS5	Gusttavo Lima	A Gente Fez Amor - Ao Vivo	Sony Music Entertainment	1	36	267	337913	3tv697PZNnaQN0Mn2zGhS5
36	spotify:track:08Sd5vVcIH3uKeAiaJdoYj	Lauana Prado	Viva Voz - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	15	34	176	336804	08Sd5vVcIH3uKeAiaJdoYj
37	spotify:track:187Pge0WmJNoS73kaIORSE	Douglas & Vinicius, MC Bruninho	Figurinha - Ao Vivo	Virgin Music Label And Artist Services (S&D)	37	39	43	328672	187Pge0WmJNoS73kaIORSE
38	spotify:track:01mKvmXQLhr3MEoiAEAcP2	Rennan da Penha, MC 2jhow	Talarica	Sony Music Entertainment	27	35	36	316979	01mKvmXQLhr3MEoiAEAcP2
39	spotify:track:2ptHQBO7TQhEkXOeK9ST59	Grupo Menos É Mais, Di Propósito, Vou Zuar	Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo	Som Livre	29	38	87	307654	2ptHQBO7TQhEkXOeK9ST59
40	spotify:track:5LpLYzpV0HWKI2DlPmNywg	Wesley Safadão, Zé Neto & Cristiano	Despedida - Ao Vivo	Som Livre	15	41	148	304146	5LpLYzpV0HWKI2DlPmNywg
41	spotify:track:3AV1KI22k1jGMz792lDrj1	Os Barões Da Pisadinha, Xand Avião	Basta Você Me Ligar - Ao Vivo	Sony Music Entertainment	40	46	71	292957	3AV1KI22k1jGMz792lDrj1
42	spotify:track:4j2bK4fnc2s6GyVmhJsJhk	Henrique & Juliano	Briga Feia - Ao Vivo	Virgin Music Label And Artist Services (S&D)	21	44	260	292599	4j2bK4fnc2s6GyVmhJsJhk
43	spotify:track:59CnMc5PR9GdDFEVOpHSg9	Dj W-Beatz, Ventura, Mc Rennan, MC Bruna Alves, MC BN, MC Rick	Rave do Papa - Deluxe (feat. Mc Rennan, MC Bruna Alves, MC BN & MC Rick) - Remix	Tratto Entretenimentos	32	43	78	288978	59CnMc5PR9GdDFEVOpHSg9
44	spotify:track:1GWUiFYLYEapxYHnASyOud	Wesley Safadão	Não Valeu	Som Livre	33	49	106	281404	1GWUiFYLYEapxYHnASyOud
45	spotify:track:2MOq63fxuFLYQM3CsDcFs1	GIULIA BE	menina solta	WM Brazil	10	37	326	279212	2MOq63fxuFLYQM3CsDcFs1
46	spotify:track:6NM06xgqxQ0HU5lxbt2JHi	Gusttavo Lima	Saudade Sua	Sony Music Entertainment	2	47	106	270769	6NM06xgqxQ0HU5lxbt2JHi
47	spotify:track:0SJtvFn4vqgJPscSbEPaql	Maiara & Maraisa, Dilsinho	Libera Ela - Ao Vivo	Som Livre	16	48	134	270016	0SJtvFn4vqgJPscSbEPaql
48	spotify:track:0VjIjW4GlUZAMYd2vXMi3b	The Weeknd	Blinding Lights	Republic Records	17	40	245	266508	0VjIjW4GlUZAMYd2vXMi3b
49	spotify:track:5eT9vs7mv4Y4HrBWcP6abV	Papatinho, Anitta, Dfideliz, BIN	Tá com o Papato (feat. BIN)	WM Brazil	49	-1	1	265764	5eT9vs7mv4Y4HrBWcP6abV
50	spotify:track:59kRq8rb5uJCrSYYbGCk7o	MC Rogerinho	Só Você	MC Rogerinho	50	51	19	262615	59kRq8rb5uJCrSYYbGCk7o
51	spotify:track:2Wo6QQD1KMDWeFkkjLqwx5	SAINt JHN, Imanbek	Roses - Imanbek Remix	Columbia/B1 Recordings	8	45	183	260064	2Wo6QQD1KMDWeFkkjLqwx5
52	spotify:track:3oqC4Ta40ft6NnTJwcUTdi	Rashid, Lukinhas, Emicida	Pipa Voada (feat. Emicida)	Sony Music Entertainment	33	42	174	254161	3oqC4Ta40ft6NnTJwcUTdi
53	spotify:track:3PfIrDoz19wz7qK7tYeu62	Dua Lipa	Don't Start Now	Warner Records	1	50	302	247503	3PfIrDoz19wz7qK7tYeu62
54	spotify:track:3oe0vGmQxem3DcarYMuzu1	Felipe Araújo	Mentira - Ao Vivo	Universal Music Ltda.	11	53	270	235167	3oe0vGmQxem3DcarYMuzu1
55	spotify:track:2PWjKmjyTZeDpmOUa3a5da	Jorge & Mateus	Cheirosa - Ao Vivo	Som Livre	3	52	323	234912	2PWjKmjyTZeDpmOUa3a5da
56	spotify:track:23zmMwD99ROi9yhxqMxWil	João Bosco & Vinicius, Matheus	Segunda Taça - Ao Vivo	João Bosco & Vinicius	19	56	190	221234	23zmMwD99ROi9yhxqMxWil
57	spotify:track:48CAeajgzcGJaVUSsXd7h0	Guilherme & Benuto, Israel & Rodolffo	Declaração pro Bar - Ao Vivo	Sony Music Entertainment	43	58	195	219076	48CAeajgzcGJaVUSsXd7h0
58	spotify:track:7cLrrJ1Dk6WAQyDIj9j26A	Katy Perry	Cry About It Later	Capitol Records	58	-1	1	213593	7cLrrJ1Dk6WAQyDIj9j26A
59	spotify:track:0GrEqRHf5FioT1hOB8PBxZ	Marília Mendonça	Vira Homem	Som Livre	22	54	120	209166	0GrEqRHf5FioT1hOB8PBxZ
60	spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF	Gustavo Mioto	Com Ou Sem Mim - Ao Vivo	Universal Music Ltda.	5	57	281	194602	5L8ZEyIdZ2KE4Wf51SsuOF
61	spotify:track:2Ou6UYuUbNyqwXxRDSeFRf	Maiara & Maraisa	Aí Eu Bebo - Ao Vivo	Som Livre	13	63	316	193727	2Ou6UYuUbNyqwXxRDSeFRf
62	spotify:track:1neg4NArvpVL7AOWIBja6q	WC no Beat, PEDRO SAMPAIO, FP do Trem Bala	BALANÇA	Sony Music Entertainment	8	61	211	193158	1neg4NArvpVL7AOWIBja6q
63	spotify:track:3GmJxfnUDrIs1iCfKUELFz	Marília Mendonça	Supera - Ao Vivo	Som Livre	1	59	379	189517	3GmJxfnUDrIs1iCfKUELFz
64	spotify:track:3vAn0qZzdyuHamcrpkfiX3	BLACKPINK	How You Like That	YG Entertainment/Interscope Records	4	82	64	186303	3vAn0qZzdyuHamcrpkfiX3
65	spotify:track:1Nmcs8zk7LfcvHRgLtTM5J	Orochi, Papatinho	Amor de Fim de Noite	Mainstreet Records	26	55	286	185931	1Nmcs8zk7LfcvHRgLtTM5J
66	spotify:track:0in6Rc29qdyOkhKyYw4A84	Di Propósito	Manda Áudio	Sony Music Entertainment	63	65	68	185683	0in6Rc29qdyOkhKyYw4A84
67	spotify:track:4koUrXFuoId1b6wrMF3laS	Mc Dricka	E Nós Tem um Charme Que É da Hora	Novo Império	67	80	43	184120	4koUrXFuoId1b6wrMF3laS
68	spotify:track:4c9Py6O1NeuYKbJ8Ok7mTl	Alok, Vintage Culture, FAULHABER	Party On My Own	CONTROVERSIA	68	-1	1	183957	4c9Py6O1NeuYKbJ8Ok7mTl
69	spotify:track:1uryupl9hqVZYurJwH4G9k	Guilherme & Benuto	3 Batidas - Ao Vivo	Sony Music Entertainment	8	70	370	182136	1uryupl9hqVZYurJwH4G9k
70	spotify:track:2Q9TaUXNM4mNSCgJjbmsJe	Zé Neto & Cristiano	Bebi Minha Bicicleta (Coração Falido) - Ao Vivo	Som Livre	4	69	274	181719	2Q9TaUXNM4mNSCgJjbmsJe
