Position	TrackName	Artist	Streams	URL	Id
2	Vai Lá Em Casa Hoje	George Henrique & Rodrigo	6684786	https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc	1c4htMHiolERc0YJvZNdlc
3	Arranhão - Ao Vivo	Henrique & Juliano	6200479	https://open.spotify.com/track/3IMLoeLerS7TMpKjxUgAhx	3IMLoeLerS7TMpKjxUgAhx
4	Toma Toma Vapo Vapo	Zé Felipe	5985217	https://open.spotify.com/track/5VTjBl3ddZEiG2LrH4VzyR	5VTjBl3ddZEiG2LrH4VzyR
5	GALOPA	PEDRO SAMPAIO	5674976	https://open.spotify.com/track/2wG1R0uDFwyobcWzVssC1J	2wG1R0uDFwyobcWzVssC1J
6	Presepada	Marília Mendonça	5661770	https://open.spotify.com/track/3YvE7uo4ffseBoJPh8IhHp	3YvE7uo4ffseBoJPh8IhHp
7	Ameaça	Paulo Pires	5319041	https://open.spotify.com/track/4fSHADbZbhpZCT9oJpxwbP	4fSHADbZbhpZCT9oJpxwbP
8	Todo Mundo Menos Você	Marília Mendonça	5221647	https://open.spotify.com/track/053zWWZDziDJd3U94x8RuP	053zWWZDziDJd3U94x8RuP
9	Coração Cachorro	Avine Vinny	4965362	https://open.spotify.com/track/2RGIuYTsyyHoOCqW0krvNE	2RGIuYTsyyHoOCqW0krvNE
10	A Maior Saudade - Ao Vivo	Henrique & Juliano	4769642	https://open.spotify.com/track/14JKzKrJbPDflw8XyATMey	14JKzKrJbPDflw8XyATMey
11	NO CHÃO NOVINHA	Anitta	4626278	https://open.spotify.com/track/7ARoqP7G8UYW8SyYPyPp7k	7ARoqP7G8UYW8SyYPyPp7k
12	Parada Louca	Mari Fernandez	4570952	https://open.spotify.com/track/72g37RoelSnovZakG5MwnF	72g37RoelSnovZakG5MwnF
13	Ela me Falou Que Quer Rave	MC Levin	4534486	https://open.spotify.com/track/0JdkDCdrhMOaeXjIZdeBXN	0JdkDCdrhMOaeXjIZdeBXN
14	Bloqueado - Ao Vivo	Gusttavo Lima	4179313	https://open.spotify.com/track/7MLCxrDoxcTRg1u3QAGE5a	7MLCxrDoxcTRg1u3QAGE5a
15	Ela e Ela	Zé Neto & Cristiano	4079750	https://open.spotify.com/track/7pvrsbBKUQI2QmA74WCJa5	7pvrsbBKUQI2QmA74WCJa5
16	Revoada No Colchão	Zé Felipe	4065335	https://open.spotify.com/track/4kGdnA7FzSVsXC29LPghej	4kGdnA7FzSVsXC29LPghej
17	Nota de Repúdio - Ao Vivo	Gusttavo Lima	3924699	https://open.spotify.com/track/3agFBAMPiIvzfTh7a9Udm6	3agFBAMPiIvzfTh7a9Udm6
18	Meu Pedaço de Pecado	João Gomes	3590097	https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6	2kJRlOyrxsy7Ot3c5TZ8Q6
19	Pandora	DJ Matt D	3520847	https://open.spotify.com/track/0yL7K9MzC20uBesZTPY81r	0yL7K9MzC20uBesZTPY81r
20	Putariazinha	Felipe Amorim	3456084	https://open.spotify.com/track/2jwrYBGz7osKI31v50bS7b	2jwrYBGz7osKI31v50bS7b
21	Bala Love	Mc Anjim	3386922	https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a	48Ll1C6qAnP2UjnopQDh4a
22	Você Beberia Ou Não Beberia?	Zé Neto & Cristiano	3367585	https://open.spotify.com/track/2ixi9HWJw5lnLDmRMsiCS5	2ixi9HWJw5lnLDmRMsiCS5
23	Por Supuesto	Marina Sena	3321115	https://open.spotify.com/track/7xVSNhAUQhUIpwfR6lTOwA	7xVSNhAUQhUIpwfR6lTOwA
24	Cê Tá Preparada - Ao Vivo	Tayrone	3308044	https://open.spotify.com/track/1tYJnXtKLoWVIL4lZOouQG	1tYJnXtKLoWVIL4lZOouQG
25	Expectativa x Realidade	Matheus & Kauan	3307929	https://open.spotify.com/track/1wdhj1r7aeWVDUl9d18YKu	1wdhj1r7aeWVDUl9d18YKu
26	Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)	DJ Patrick Muniz	3295941	https://open.spotify.com/track/0DsPj89zlY3Us7xb5cXK5h	0DsPj89zlY3Us7xb5cXK5h
27	Baby Me Atende	Matheus Fernandes	3183243	https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7	1bWBG6IkMnDr3qvCKSvQT7
28	Ficha Limpa	Gusttavo Lima	2862898	https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8	5SwyN9hzmWjBsINlif8li8
29	Sem Sentimento	DG e Batidão Stronda	2757231	https://open.spotify.com/track/4XiFqfUXyTwOChvMLKKi0T	4XiFqfUXyTwOChvMLKKi0T
30	Quer Voar	Matuê	2746374	https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz	7aZusA4cWXz3Wv9e9uhavz
31	Mete a Louca	MC Rogerinho	2736585	https://open.spotify.com/track/62d4BfCTUHdOsARRETHLDz	62d4BfCTUHdOsARRETHLDz
32	Localiza Aí BB	Vitor e Luan	2712554	https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah	6fe5D0ivKnpXFMAnoSRjah
33	Rolê	Tarcísio do Acordeon	2704153	https://open.spotify.com/track/50gPsfGHy5OnPauA9455DM	50gPsfGHy5OnPauA9455DM
34	Acordo - Ao Vivo	Henrique & Juliano	2672225	https://open.spotify.com/track/0tM4J8aID6qYZOE3e14sCj	0tM4J8aID6qYZOE3e14sCj
35	Molhando o Volante	Jorge & Mateus	2667318	https://open.spotify.com/track/3ITkrUvAA6gzxer2UIom3P	3ITkrUvAA6gzxer2UIom3P
36	MORENA	Luan Santana	2651889	https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd	4PQdrXMDHDPl1RczrrlADd
37	Carinha de Neném	Japãozin	2651454	https://open.spotify.com/track/6T6SDJszPbuMCBpSm3aS3G	6T6SDJszPbuMCBpSm3aS3G
38	Set dos Casados	Mc Davi	2615836	https://open.spotify.com/track/2xebCnKCjYWBhJ4Ai8hO5E	2xebCnKCjYWBhJ4Ai8hO5E
39	Não Sei o Que Lá	Marília Mendonça	2589190	https://open.spotify.com/track/28m65cMH7QXHzFnZSTtNHY	28m65cMH7QXHzFnZSTtNHY
40	A QUEDA	Gloria Groove	2550822	https://open.spotify.com/track/2s9BO8c0co0PmgBiUoTT17	2s9BO8c0co0PmgBiUoTT17
41	Motel Afrodite	Marília Mendonça	2527917	https://open.spotify.com/track/6WxpU2F5gwTzwYsAalI6nI	6WxpU2F5gwTzwYsAalI6nI
42	Vestido Coladinho	Max e Luan	2517128	https://open.spotify.com/track/1d7AtPeraWVsvI4U1YTHt1	1d7AtPeraWVsvI4U1YTHt1
43	Desbloqueado - Ao Vivo	Diego & Victor Hugo	2470004	https://open.spotify.com/track/79Wou8NwYEFzTyDQudjENF	79Wou8NwYEFzTyDQudjENF
44	Senta Danada	Zé Felipe	2461442	https://open.spotify.com/track/2R9IrE42Mw4zdUXAEFNiZL	2R9IrE42Mw4zdUXAEFNiZL
45	Aquelas Coisas	João Gomes	2385852	https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M	0FqVtQxRD3HsPltldG5v5M
46	Bota a Mão no Chão	Felipe Cardoso DJ	2356935	https://open.spotify.com/track/3Lw41pfko5XMrsHRtlbo2k	3Lw41pfko5XMrsHRtlbo2k
47	Enemy (with JID) - from the series Arcane League of Legends	Imagine Dragons	2335478	https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ	1r9xUipOqoNwggBpENDsvJ
48	Troca de Calçada	Marília Mendonça	2259949	https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe	4AAIAVjSyiq1N7SXKkwXZe
49	Namorando Com Saudade	Jorge & Mateus	2200034	https://open.spotify.com/track/6m84TzSTM5nbwZxIxkYHz6	6m84TzSTM5nbwZxIxkYHz6
50	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	2154618	https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk	5Z9KJZvQzH6PFmb8SNkxuk
51	Me Sinto Abençoado	Mc Poze do Rodo	2149195	https://open.spotify.com/track/7HjZD0NPC1hzFpjUjo45GR	7HjZD0NPC1hzFpjUjo45GR
52	Dar uma Namorada - Ao Vivo	Israel & Rodolffo	2057381	https://open.spotify.com/track/2PZmUFZGlUqkYJL0s0Cl6C	2PZmUFZGlUqkYJL0s0Cl6C
53	Água Nos Zói - Ao Vivo	Clayton & Romário	2050560	https://open.spotify.com/track/77rIMl1WIrLf4ZDKFYZ4ji	77rIMl1WIrLf4ZDKFYZ4ji
54	Tiffany	MD Chefe	1999126	https://open.spotify.com/track/0NvVVP3Q0oSbfBUZ48vCHs	0NvVVP3Q0oSbfBUZ48vCHs
55	Rasteira - Ao Vivo	Henrique & Juliano	1948773	https://open.spotify.com/track/1TyxXIXVVpHwhKaF73z8nw	1TyxXIXVVpHwhKaF73z8nw
56	Chega E Senta - Ao Vivo	John Amplificado	1931029	https://open.spotify.com/track/2ookQf9qP2qiBuNFnNXyfl	2ookQf9qP2qiBuNFnNXyfl
57	Vagabundo	Matheus & Kauan	1864957	https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia	6Lrzxd7ST5oQ6FYKXKH7Ia
58	Deu Meia Noite, Eu Sumi, Geral Soltando Fogos	Mc Delux	1833823	https://open.spotify.com/track/3hycwch1V1aCbKGlcfKg0I	3hycwch1V1aCbKGlcfKg0I
59	Envolver	Anitta	1749945	https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI	3IAfUEeaXRX9s9UdKOJrFI
