,lyrics
0,"Atrasadinha (Ao Vivo) Lyrics[Letra de ""Atrasadinha"" com Felipe Araújo & Ferrugem]

[Verso: Felipe Araújo]
Botei a melhor roupa pra esconder os meus defeitos
Exagerei no perfume pra te impressionar
Cheguei mais cedo pra te ver chegar

[Pré-Refrão: Felipe Araújo]
E você chegou atrasadinha, mas tava linda, minha boca calou
Mas meu coração gritou por cima
E vai na fé, aposta nela, que ela é uma boa menina
[Refrão: Felipe Araújo]
Vamos pular a parte que eu peço aquele vinho do bom
A taça não merece tirar seu batom
Deixa comigo, que pra isso eu tenho o dom
Vamos pular a parte que eu peço aquele vinho do bom
A taça não merece tirar seu batom
Deixa comigo, que pra isso eu tenho o dom

[Pós-Refrão: Felipe Araújo]
E daí que é nosso primeiro encontro?
Hoje eu te beijo e pronto

[Pré-Refrão: Ferrugem]
E você chegou atrasadinha, mas tava linda, minha boca calou
Mas meu coração gritou por cima
E vai na fé, aposta nela, que ela é uma boa menina

[Refrão: Ferrugem]
Vamos pular a parte que eu peço aquele vinho do bom
A taça não merece tirar seu batom
Deixa comigo, que pra isso eu tenho o dom
Vamos pular a parte que eu peço aquele vinho do bom
A taça não merece tirar seu batom
Deixa comigo, que pra isso eu tenho o dom
E vamos pular a parte que eu peço aquele vinho do bom
A taça não merece tirar seu batom
Deixa comigo, que pra isso eu tenho o dom
[Saída: Ferrugem, Felipe Araújo & ambos]
E daí que é nosso primeiro encontro?
Hoje eu te beijo e pronto
Assunto encerrado, pronto, eu beijo mesmo
Felipe Araújo
Hoje eu te beijo e pronto
Hoje eu te beijo e pronto
Obrigado!Embed"
1,"Parado no Bailão Lyrics[Letra de ""Parado no Bailão"" com MC L da Vinte & MC Gury]

[Verso: MC L da Vinte & MC Gury]
É que eu queria muito ela
Ela não me dava atenção
Fiz de tudo por ela
Pra manter uma relação
E hoje nós nem conversa
Tô decidido e não é à toa
Que eu me joguei no Mandela
Foi que eu me joguei pro Mandela
(Que eu me joguei no Mandela)
[Refrão: MC L da Vinte & MC Gury]
Eu parado no bailão (Oh, no bailão)
Ela com o popozão (E o popozão no chão)
O popozão no chão, e o popozão no chão, hmm
Eu parado no bailão, no bailão
Ela com o popozão, o popozão no chão
O popozão no chão, o popozão no chão
O popozão no chão
Eu (Eu) parado no bailão, no bailão
Ela com o popozão, e o popozão no chão
E o popozão no chão, e o popozão no chão, hmm

[Verso: MC L da Vinte & MC Gury]
É que eu queria muito ela
Ela não me dava atenção
Fiz de tudo por ela
Pra manter uma relação
E hoje nós nem conversa
Tô decidido e não é à toa
Que eu me joguei no Mandela
Foi que eu me joguei pro Mandela
(Que eu me joguei no Mandela)

[Refrão: MC L da Vinte, MC Gury & ambos]
Eu parado no bailão (Oh, no bailão)
Ela com o popozão (E o popozão no chão)
O popozão no chão, e o popozão no chão, hmm
Eu parado no bailão, no bailão
Ela com o popozão, o popozão no chão
O popozão no chão, o popozão no chão
O popozão no chão
Eu (Eu) parado no bailão, no bailão
Ela com o popozão, e o popozão no chão
E o popozão no chão, e o popozão no chão, hmmEmbed"
2,"Notificação Preferida Lyrics[Letra de ""Notificação Preferida"" com Zé Neto & Cristiano]

[Intro]
Já doeu
Mas hoje não dói mais
Tanto fiz
Que agora tanto faz

[Verso]
O nosso amor calejou
Apanhou, apanhou que cansou
Na minha cama cê fez tanta falta
Que o meu coração te expulsou
Não tem mais eu e você
Tá facin de entender
Você me deu aula de como aprender te esquecer
[Refrão]
Foi, mas não é mais a minha notificação preferida
Já foi, mas não é mais a número um da minha vida
Sinto em te dizer
Mas eu já superei você

[Verso]
O nosso amor calejou
Apanhou, apanhou que cansou
Na minha cama cê fez tanta falta
Que o meu coração te expulsou
Não tem mais eu e você
Tá facin de entender
Você me deu aula de como aprender te esquecer

[Refrão]
Foi, mas não é mais a minha notificação preferida
Já foi, mas não é mais a número um da minha vida
Sinto em te dizer
Mas eu já superei você
Foi, mas não é mais a minha notificação preferida
Já foi, mas não é mais a número um da minha vida
Sinto em te dizer
Mas eu já superei você

[Saída]
Já doeu
Mas hoje não dói maisEmbed"
3,"Ciumeira (Ao Vivo) Lyrics[Letra de ""Ciumeira"" com Marilia Mendonça]

[Verso]
No começo eu entendia
Mas era só cama, não tinha amor
Lembro quando você dizia
""Vou desligar porque ela chegou""

[Pré-Refrão]
E a gente foi se envolvendo, perdendo o medo
Não tinha lugar e nem hora pra dar um beijo
Coração não tá mais aceitando
Só metade do seu ""te amo""
[Refrão]
É uma ciumeira atrás da outra
Ter que dividir seu corpo e a sua boca
Tá bom que eu aceitei por um instante
A verdade é que amante não quer ser amante
É uma ciumeira atrás da outra
Ter que dividir seu corpo e a sua boca
Tá bom que eu aceitei por um instante
A verdade é que amante não quer ser amante
É uma ciumeira atrás da outra

[Pré-Refrão]
E a gente foi se envolvendo, perdendo o medo
Não tinha lugar e nem hora pra dar um beijo
Coração não tá mais aceitando
Só metade do seu ""te amo""

[Refrão]
É uma ciumeira atrás da outra
Ter que dividir seu corpo e a sua boca
Tá bom que eu aceitei por um instante
A verdade é que amante não quer ser amante
É uma ciumeira atrás da outra
Ter que dividir seu corpo e a sua boca
Tá bom que eu aceitei por um instante
A verdade é que amante não quer ser amante
É uma ciumeira atrás da outra
Ter que dividir seu corpo e a sua boca
Tá bom que eu aceitei por um instante
A verdade é que amante não quer ser amante
É uma ciumeira atrás da outraEmbed"
4,"Quem Me Dera Lyrics[Letra de ""Quem Me Dera"" com Márcia Fellipe & Jerry Smith]

[Verso: Márcia Fellipe]
Não tô me reconhecendo
Tô em casa em pleno feriado
Até o garçom sentiu minha falta e já ligou preocupado

[Pré-Refrão: Márcia Fellipe]
É que agora eu só penso em você
Não é que eu esteja apaixonada
Eu tô falando sério:
Eu não quero ninguém
Mas se você quiser, eu quero
[Refrão: Márcia Fellipe]
Dormir de conchinha, nem pisar em festa
Deus me livre, mas quem me dera
Postar foto juntos, os contatinho já era
Deus me livre, mas quem me dera
Eu tô com pressa
Mas se você vier, meu coração espera
Eu tô com pressa
Jerry Smith, se vier, meu coração espera

[Verso: Jerry Smith]
E não tô me reconhecendo
E tô em casa em pleno feriado
E até o garçom sentiu minha falta e já ligou preocupado

[Pré-Refrão: Jerry Smith]
É que agora só penso em você
Não é que eu esteja apaixonado
Eu tô falando sério:
Eu não quero ninguém
Mas se você quiser, eu quero

[Refrão: Jerry Smith]
Dormir de conchinha, nem pisar em festa
Deus me livre, mas quem me dera
Postar foto junto e o contatinho já era
Deus me livre, mas quem me dera
Eu tô com pressa
Mas se você vier, meu coração te espera
Eu tô com pressa
Marcia, se você vier, o Jerry Smith esperaEmbed"
5,"Só Pra Castigar Lyrics[Letra de ""Só Pra Castigar"" com Wesley Safadão]

[Verso 1]
Caça briga à toa
E adora passar raiva, nunca vi
Eu queria te entender na boa
Faz o quer e o que não quer de mim

[Verso 2]
Até em assunto nada a ver
Você quer me provocar
Quer me fazer ciúmes de graça
É, eu não sou de retrucar
Mais eu vou descontar
Naquilo que você mais gosta
[Refrão]
Hoje cê vai sentir na pele o que que é passar raiva
Vou dar meu melhor na cama de pirraça
Quando cê for virar o olho, eu vou parar
Só pra castigar
Hoje não sobra cabelo arrumado na cabeça
No rumo do seu quarto hoje ranca telha
Quando cê for virar o olho, eu vou parar
Só pra castigar

[Verso 2]
Até em assunto nada a ver
Você quer me provocar
Quer me fazer ciúmes de graça
É, eu não sou de retrucar
Mais eu vou descontar. Quer saber onde?
Naquilo que você mais gosta

[Refrão]
Hoje cê vai sentir na pele o que que é passar raiva
Vou dar meu melhor na cama de pirraça
Quando cê for virar o olho, eu vou parar
Só pra castigar
Hoje não sobra cabelo arrumado na cabeça
No rumo do seu quarto hoje ranca telha
Quando cê for virando o olho, eu vou parar
Só pra castigarEmbed"
6,"Jenifer Lyrics[Letra de ""Jenifer"" com Gabriel Diniz]

[Intro]
Oh o swing do GD

[Verso]
Mas ela veio me xingando, enchendo o saco
Perguntando: ""Quem é essa perua aí?""
Mas peraí! Mas peraí!
Você não paga as minhas contas
Já não é da sua conta o que é que eu tô fazendo aqui
Mas mesmo assim vou te explicar
[Refrão]
O nome dela é Jenifer
Eu encontrei ela no Tinder
Não é minha namorada
Mas poderia ser
O nome dela é Jenifer
Eu encontrei ela no Tinder
Mas ela faz umas paradas
Que eu não faço com você

[Verso]
Mas ela veio me xingando, enchendo o saco
Perguntando: ""Quem é essa perua aí?""
Mas peraí! Mas peraí!
Você não paga as minhas contas
Já não é da sua conta o que é que eu tô fazendo aqui
Mas mesmo assim vou te explicar

[Refrão]
O nome dela é Jenifer
Eu encontrei ela no Tinder
Não é minha namorada
Mas poderia ser
O nome dela é Jenifer
Eu encontrei ela no Tinder
Mas ela faz umas paradas
Que eu não faço com você
O nome dela é Jenifer
Eu encontrei ela no Tinder
Não é minha namorada
Mas poderia ser
O nome dela é Jenifer
Eu encontrei ela no Tinder
Mas ela faz umas paradas
Que eu não faço com você1Embed"
7,"Não Fala Não Pra Mim Lyrics[Verso 1: Humberto]
Lá vai minha saudade beber uns Danone
Pra ver se a vontade de te ver some de uma vez da minha cabeça
Eu já to vendo a surra de enxaqueca
Lá vai meu orgulho perdendo a vergonha
A comanda enchendo, os dedos tremendo com vontade de ligar
Já to com medo de me rejeitar

[Refrão 1: Humberto & Ronaldo]
Não fala não pra mim, bebê
Senão eu morro de beber
Nessa fossa que eu tô, não dá
E é só você pra me salvar
Não fala não pra mim, bebê
Senão eu morro de beber
Fala que ainda sou o seu amor
Ô Jerry Smith me ajuda, por favor
[Verso 2: Jerry Smith]
Ô, bebê, sinto falta de te ver aqui
Sentando, quicando, beijando essa boca que é só sua
Igual a você não acho nem na Terra nem na Lua
Jerry Smith chegou pra ajudar Humberto e Ronaldo
Atende o coração desse pobre coitado

[Refrão 2: Humerto, Ronaldo & Jerry Smith]
Não fala não pra mim, bebê
Senão eu morro de beber
Nessa fossa que eu tô, não dá
E é só você pra me salvar
Não fala não pra mim, bebê
Senão eu morro de beber
Fala que ainda sou o seu amor
Salva meu coração, por favor

[Verso 2: Jerry Smith]
Ô, bebê, sinto falta de te ver aqui
Sentando, quicando, beijando essa boca que é só sua
Igual a você não acho nem na Terra nem na Lua
Jerry Smith chegou pra ajudar Humberto e Ronaldo
Atende o coração desse pobre coitado

[Refrão 1 - Variação: Humberto, Ronaldo & Jerry Smith]
Não fala não pra mim, bebê
Senão eu morro de beber
Nessa fossa que eu tô, não dá
E é só você pra me salvar
Não fala não pra mim, bebê
Senão eu morro de beber
Fala que ainda sou o seu amor
Humberto e Ronaldo, ajuda, por favor
Não fala não pra mim, bebê
Senão eu morro de beber
Fala que ainda sou o seu amor
Humberto e Ronaldo, ajuda, por favor
[Saída: Humberto & Ronaldo]
Não fala não pra mim, bebêEmbed"
8,"Quem Pegou, Pegou Lyrics[Letra de ""Quem Pegou, Pegou"" com Henrique e Juliano]

[Verso]
Hoje é a sexta mais estranha da minha vida
Já passou das 8 e eu nem toquei em bebida

[Pré-Refrão]
Eu mudei de celular
Pro passado não me achar
Da balada tirei meu nome da lista
Eu achei sem procurar
Viciei só de provar
No coração pendurei uma plaquinha
Que dizia:
[Refrão]
Quem pegou, pegou, pegou
Não pega mais!
Quem beijou, beijou, beijou
Não beija mais!
Tem um amor de balada
Virando amor da minha vida
Quem diria
Quem pegou, pegou, pegou
Não pega mais!
Quem beijou, beijou, beijou
Não beija mais!
Tem um amor de balada
Virando amor da minha vida
Quem diria
Que eu beijaria a mesma boca todo dia!

[Pré-Refrão]
Eu mudei de celular
Pro passado não me achar
Da balada tirei meu nome da lista
Eu achei sem procurar
Viciei só de provar
No coração pendurei uma plaquinha
Que dizia:
[Refrão]
Quem pegou, pegou, pegou
Não pega mais!
Quem beijou, beijou, beijou
Não beija mais!
Tem um amor de balada
Virando amor da minha vida
Quem diria
Quem pegou, pegou, pegou
Não pega mais!
Quem beijou, beijou, beijou
Não beija mais!
Tem um amor de balada
Virando amor da minha vida
Quem diria
Que eu beijaria a mesma boca todo dia!

[Saída]
Tem um amor de balada
Virando amor da minha vida
Quem diria
Que eu beijaria a mesma boca todo dia!Embed"
9,"Medley da Gaiola Lyrics[Letra de ""Medley da Gaiola"" com Kevin o Chris & Dennis DJ]

[Verso 1]
Cheiro de perfume bom, ei, tu tá na gaiola
Cheiro de marola boa, ei, tu tá na gaiola
Várias malandra jogando, ei, tu tá na gaiola
Os amigo faturando, ei, tu tá na gaiola

[Refrão]
Vem sentando e rebola
Ei, tu tá na gaiola, ei, tu tá na gaiola
Sentando, sentando e rebola
Ei, tu tá na gaiola, ei, tu tá na gaiola
Sentando, sentando e rebola
[Verso 2]
Vai descendo a danadinha
Oi, para o Dennis, vai novinha
Vai descendo a danadinha
Oi, para o Dennis, vai novinha

[Verso 3]
Finalidade era ficar em casa
Mas me falaram que o Dennis é o bicho
E eu brotei só pra ver as danada
Fazendo isso
Oi, com o bumbum, oi, com o bumbum
Oi, com o bumbum ela arrasta, na quadra, ela arrasta
Oi, pro Dennis ela arrasta, na quadra, danada
Oi, com o bumbum ela arrasta, na quadra, ela arrasta
Oi, pro Dennis ela arrasta, na quadra, danada

[Verso 4]
Deixo você louca de vontade pra ficar comigo
Te olho com cara de safado, bandido
É que hoje à noite eu trouxe uma surpresa pra você
Vamos lá pro carro que você vai ver
Dentro do carro, hoje vai ter ousadia
Oi, com o Dennis, hoje vai ter ousadia
Senta, senta, senta, senta, senta pra valer
Apenas senta, senta, senta, senta, senta
Senta, senta, senta, senta, senta pra valer
Apenas senta, senta, senta, senta, senta
Dentro do carro, hoje vai ter ousadia
Oi, com o Dennis, hoje vai ter ousadia
Senta, senta, senta, senta, senta pra valer
Apenas senta, senta, senta, senta, senta
Senta, senta, senta, senta, senta pra valer
Apenas senta, senta, senta, senta, senta
[Verso 5]
Baile do Dennis sempre lotado
Todo fim de semana eu tenho que partir
E os amigo sempre curtindo
Dinheiro no bolso, o ritmo é assim
Eu vou pro baile da Gaiola
Na intenção de beber
Te vejo no baile e já chego sarrando
Do jeito que você gosta
Eu te deixo excitada
Te levo pro beco e te faço a proposta
Toma, toma, toma, toma
Toma, toma, toma, toma
Toma, toma, toma, toma
Caralho!
Toma, toma, toma, toma
Toma, toma, toma, toma
Toma, toma, toma, toma
Caralho!
Toma, toma, toma, toma
Toma, toma, toma, toma
Toma, toma, toma, toma
Caralho!

[Saída]
Senta, senta, senta, senta, senta (Vai descendo a danadinha)
Senta, senta, senta, senta, senta (Ei, tu tá na gaiola)
Toma, toma, toma, toma
Toma, toma, toma, toma (Do jeito que você gosta)
Eu vou pro baile da Gaiola (Hoje vai ter ousadia)
Hahaha...Embed"
