rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:4E6RdcCWMiHTu7zy1VTNDo	Marília Mendonça	Todo Mundo Vai Sofrer - Ao Vivo	Som Livre	1	1	6	3961055	4E6RdcCWMiHTu7zy1VTNDo
2	spotify:track:0TK2YIli7K1leLovkQiNik	Shawn Mendes, Camila Cabello	Señorita	Island Records	2	-1	1	3505200	0TK2YIli7K1leLovkQiNik
3	spotify:track:0WhDotK0QXigmsrlw0DxKK	MC Kevin o Chris, Sodré	Evoluiu	ADpar	2	2	10	3361726	0WhDotK0QXigmsrlw0DxKK
4	spotify:track:5pRGXCDY0eT6R1QicAn7Uk	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	2	3	34	3347869	5pRGXCDY0eT6R1QicAn7Uk
5	spotify:track:6sRLrSetyIwIKhW1eMlUNP	Matheus & Kauan, Marília Mendonça	Vou Ter Que Superar - Ao Vivo	Universal Music Ltda.	2	4	14	2875460	6sRLrSetyIwIKhW1eMlUNP
6	spotify:track:6QwFUcPc5nhsqZuhXUYtV7	Jorge & Mateus	Tijolão - Ao Vivo	Som Livre	5	6	5	2582275	6QwFUcPc5nhsqZuhXUYtV7
7	spotify:track:2x8TNY9KwNvD19gVGs4WOP	MC Kevin o Chris	Ela É do Tipo	ADpar	1	9	15	2294974	2x8TNY9KwNvD19gVGs4WOP
8	spotify:track:3RbXsVQr4jeTxvT35Hssq3	Marília Mendonça	Bebi Liguei - Ao Vivo	Som Livre	2	7	28	2263968	3RbXsVQr4jeTxvT35Hssq3
9	spotify:track:26WpOBpHiIMoBuMEIwtOCH	Pk, PK Delas	Quando a vontade bater (Participação especial de PK Delas)	WM Brazil	8	22	15	2252085	26WpOBpHiIMoBuMEIwtOCH
10	spotify:track:7oEr56KG6odStlQH0nvdyr	Gustavo Mioto	Solteiro Não Trai - Ao Vivo	Gustavo Mioto	8	11	29	2203624	7oEr56KG6odStlQH0nvdyr
11	spotify:track:5eMmT4Ava5BGThju0AD8vQ	Gusttavo Lima	Cem Mil - Ao Vivo	Som Livre	1	10	35	2168725	5eMmT4Ava5BGThju0AD8vQ
12	spotify:track:1xyVMQx51Kab6eLVtE6twx	Lauana Prado, Maiara & Maraisa	Cobaia	Universal Music Ltda.	12	13	46	2131469	1xyVMQx51Kab6eLVtE6twx
13	spotify:track:6YjyT6MEMsMc41NNWk2dYg	Marília Mendonça, Maiara & Maraisa	Bebaça - Ao Vivo	Som Livre	6	14	18	2076267	6YjyT6MEMsMc41NNWk2dYg
14	spotify:track:1HEr5uCRyuuLlVCOB1RiTE	Luísa Sonza, Pabllo Vittar	Garupa	Universal Music Ltda.	5	5	2	2070365	1HEr5uCRyuuLlVCOB1RiTE
15	spotify:track:4eB8rsNNm5791m3uvEBNLR	Zé Neto & Cristiano	Estado Decadente - Acústico	Som Livre	10	12	24	2058598	4eB8rsNNm5791m3uvEBNLR
16	spotify:track:6u7jPi22kF8CTQ3rb9DHE7	Lil Nas X, Billy Ray Cyrus	Old Town Road - Remix	Columbia	14	16	11	2039480	6u7jPi22kF8CTQ3rb9DHE7
17	spotify:track:3L2uyIJoJPjYkSETVNSPBQ	Maiara & Maraisa	Não Abro Mão - Ao Vivo	Som Livre	13	15	21	1987087	3L2uyIJoJPjYkSETVNSPBQ
18	spotify:track:0nkDm27DGppCSk8dnGtvPa	POCAH	Não sou obrigada	WM Brazil	18	19	12	1772472	0nkDm27DGppCSk8dnGtvPa
19	spotify:track:4gDvg62vG96w0qJaF6wzcd	Diego & Victor Hugo, Zé Neto & Cristiano	A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília	Sony Music Entertainment	19	24	14	1772087	4gDvg62vG96w0qJaF6wzcd
20	spotify:track:2H8ETIUEoN9YMf56X66bxd	Anitta, LUDMILLA, Snoop Dogg, Papatinho	Onda diferente (feat. Papatinho)	WM Brazil	4	17	12	1744932	2H8ETIUEoN9YMf56X66bxd
21	spotify:track:3tA0vALUwrzkTgHcm9j6oJ	Zé Neto & Cristiano	Notificação Preferida - Ao Vivo	Som Livre	2	20	54	1696929	3tA0vALUwrzkTgHcm9j6oJ
