rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
1	spotify:track:3tv697PZNnaQN0Mn2zGhS5	Gusttavo Lima	A Gente Fez Amor - Ao Vivo	Sony Music Entertainment	1	1	146	572686	3tv697PZNnaQN0Mn2zGhS5
2	spotify:track:3PfIrDoz19wz7qK7tYeu62	Dua Lipa	Don't Start Now	Warner Records	1	2	181	519852	3PfIrDoz19wz7qK7tYeu62
3	spotify:track:2WlZuBDgLfT7Kc0admhFdg	Luísa Sonza	BRABA	Universal Music Ltda.	1	4	43	449404	2WlZuBDgLfT7Kc0admhFdg
4	spotify:track:3Ghyp3X5Ua9ypHnBIgOObI	Henrique & Juliano	Liberdade Provisória - Live - Ibirapuera / 2019	Virgin Music Label And Artist Services (S&D)	1	3	146	447242	3Ghyp3X5Ua9ypHnBIgOObI
5	spotify:track:60wF0XnX7A0jVpDNA5v8vi	Vytinho NG, Bianca	Tudo no Sigilo	Vytinho Ng	5	5	43	400406	60wF0XnX7A0jVpDNA5v8vi
6	spotify:track:1K7WzjKDcDdVbKNGrB0gej	Major Lazer, MC Lan, Anitta, BEAM	Rave de Favela (feat. BEAM)	WM Brazil	2	6	75	374128	1K7WzjKDcDdVbKNGrB0gej
7	spotify:track:3tc8Z4lGzOIwmIVftsxO6o	Marília Mendonça	Graveto - Ao Vivo	Som Livre	3	7	111	362031	3tc8Z4lGzOIwmIVftsxO6o
8	spotify:track:5W1kqz2l1lDX77DXBMeXZg	Matheus & Kauan	Litrão - Ao Vivo Em Recife / 2020	Universal Music Ltda.	3	8	90	357913	5W1kqz2l1lDX77DXBMeXZg
9	spotify:track:6nI98wtHOJAYSASq22TCYu	Luan Santana	água com açúcar - ao vivo	Som Livre	9	9	45	335251	6nI98wtHOJAYSASq22TCYu
10	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	6	10	181	325157	3J5Pu25BODMex4Jpy4l6FL
11	spotify:track:24Yi9hE78yPEbZ4kxyoXAI	SAINt JHN, Imanbek	Roses - Imanbek Remix	Columbia/B1 Recordings	11	11	62	314520	24Yi9hE78yPEbZ4kxyoXAI
12	spotify:track:7Ac3BmqTQoLdAt7HtZyfgN	DENNIS, Mc Don Juan	Te Prometo	Sony Music Entertainment	8	12	82	293130	7Ac3BmqTQoLdAt7HtZyfgN
13	spotify:track:0RaIjuKU5hudMteEXwr4RS	Jorge & Mateus	Ranking	Som Livre	9	13	55	289680	0RaIjuKU5hudMteEXwr4RS
14	spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF	Gustavo Mioto	Com Ou Sem Mim - Ao Vivo	Universal Music Ltda.	5	14	160	282021	5L8ZEyIdZ2KE4Wf51SsuOF
15	spotify:track:2Q9TaUXNM4mNSCgJjbmsJe	Zé Neto & Cristiano	Bebi Minha Bicicleta (Coração Falido) - Ao Vivo	Som Livre	4	16	153	276281	2Q9TaUXNM4mNSCgJjbmsJe
16	spotify:track:1rgnBhdG2JDFTbYkYRZAku	Tones And I	Dance Monkey	Elektra (NEK)	5	15	220	273706	1rgnBhdG2JDFTbYkYRZAku
17	spotify:track:7o9LwQmTuIDm4LyyHFIWul	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	11	19	111	271410	7o9LwQmTuIDm4LyyHFIWul
18	spotify:track:4lKuzrdZrJuCAedbIslF3A	PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro	SENTADÃO	WM Brazil	2	18	160	270180	4lKuzrdZrJuCAedbIslF3A
19	spotify:track:7eJMfftS33KTjuF7lTsMCx	Powfu, beabadoobee	death bed (coffee for your head)	Columbia	19	20	52	261855	7eJMfftS33KTjuF7lTsMCx
20	spotify:track:017PF4Q3l4DBUiWoXk4OWT	Dua Lipa	Break My Heart	Warner Records	8	21	35	258705	017PF4Q3l4DBUiWoXk4OWT
21	spotify:track:39Yp9wwQiSRIDOvrVg7mbk	THE SCOTTS, Travis Scott, Kid Cudi	THE SCOTTS	Cactus Jack / Epic	13	17	6	253768	39Yp9wwQiSRIDOvrVg7mbk
22	spotify:track:2PWjKmjyTZeDpmOUa3a5da	Jorge & Mateus	Cheirosa - Ao Vivo	Som Livre	3	22	202	249835	2PWjKmjyTZeDpmOUa3a5da
23	spotify:track:0VjIjW4GlUZAMYd2vXMi3b	The Weeknd	Blinding Lights	Republic Records	22	23	124	239979	0VjIjW4GlUZAMYd2vXMi3b
24	spotify:track:1uryupl9hqVZYurJwH4G9k	Guilherme & Benuto	3 Batidas - Ao Vivo	Sony Music Entertainment	8	24	249	237639	1uryupl9hqVZYurJwH4G9k
25	spotify:track:3GmJxfnUDrIs1iCfKUELFz	Marília Mendonça	Supera - Ao Vivo	Som Livre	1	26	258	231765	3GmJxfnUDrIs1iCfKUELFz
26	spotify:track:63SHcJzckFykS8faA5zojY	MC Ingryd, DJ Henrique da VK	Vem Me Satisfazer	MC Ingryd	4	27	148	231260	63SHcJzckFykS8faA5zojY
27	spotify:track:3WjSkl7VDWY1prwJw7dSG0	Zé Neto & Cristiano	Barzinho Aleatório - Ao Vivo	Som Livre	17	25	146	231201	3WjSkl7VDWY1prwJw7dSG0
28	spotify:track:4p8pEdPYOQLzJUKYrLOacy	WC no Beat, PEDRO SAMPAIO, FP do Trem Bala	BALANÇA (feat. Pedro Sampaio)	Sony Music Entertainment	8	28	90	224653	4p8pEdPYOQLzJUKYrLOacy
29	spotify:track:146Vb458Y5RbqEa0fYFPzm	Felipe Araújo	Mentira - Ao Vivo	Universal Music Ltda.	21	29	149	222981	146Vb458Y5RbqEa0fYFPzm
30	spotify:track:2MOq63fxuFLYQM3CsDcFs1	GIULIA BE	menina solta	WM Brazil	10	30	205	220139	2MOq63fxuFLYQM3CsDcFs1
31	spotify:track:67mqU3FeErlvWwsxnMfvQo	MC Du Black, Delacruz	Tudo Aconteceu	Universal Music Ltda.	31	31	35	215611	67mqU3FeErlvWwsxnMfvQo
32	spotify:track:5PNvgiKSwMdjBsDsgFCFLX	Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion	Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix	Spinnin' Deep	32	38	27	208119	5PNvgiKSwMdjBsDsgFCFLX
33	spotify:track:127QTOFJsJQp5LbJbu3A1y	Drake	Toosie Slide	OVO	32	33	27	206641	127QTOFJsJQp5LbJbu3A1y
34	spotify:track:2bPtwnrpFNEe8N7Q85kLHw	Anitta, Lexa, Luísa Sonza, Rebecca	Combatchy (feat. MC Rebecca)	WM Brazil	1	35	162	205772	2bPtwnrpFNEe8N7Q85kLHw
35	spotify:track:4j2bK4fnc2s6GyVmhJsJhk	Henrique & Juliano	Briga Feia - Ao Vivo	Virgin Music Label And Artist Services (S&D)	23	36	139	203610	4j2bK4fnc2s6GyVmhJsJhk
36	spotify:track:08Sd5vVcIH3uKeAiaJdoYj	Lauana Prado	Viva Voz - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	36	37	55	202681	08Sd5vVcIH3uKeAiaJdoYj
37	spotify:track:5LpLYzpV0HWKI2DlPmNywg	Wesley Safadão, Zé Neto & Cristiano	Despedida - Ao Vivo	Som Livre	30	39	27	192192	5LpLYzpV0HWKI2DlPmNywg
38	spotify:track:2Ou6UYuUbNyqwXxRDSeFRf	Maiara & Maraisa	Aí Eu Bebo - Ao Vivo	Som Livre	13	40	195	189812	2Ou6UYuUbNyqwXxRDSeFRf
39	spotify:track:6gBFPUFcJLzWGx4lenP6h2	Travis Scott	goosebumps	Epic/Grand Hustle	32	34	59	188835	6gBFPUFcJLzWGx4lenP6h2
40	spotify:track:0nbXyq5TXYPCO7pr3N8S4I	Roddy Ricch	The Box	Atlantic Records	26	44	110	188785	0nbXyq5TXYPCO7pr3N8S4I
41	spotify:track:2PqPSf3gtTED79rWGwVtYg	Diego & Victor Hugo	Áudio - Ao Vivo em Brasília	Sony Music Entertainment	28	41	292	188303	2PqPSf3gtTED79rWGwVtYg
42	spotify:track:0uaR51nHWtVrVPOFPeGyDq	Eduardo Costa	Ainda Tô Aí - Ao Vivo	Talismã Music	42	42	10	185071	0uaR51nHWtVrVPOFPeGyDq
43	spotify:track:2xLMifQCjDGFmkHkpNLD9h	Travis Scott	SICKO MODE	Cactus Jack / Epic / Grand Hustle	29	32	68	184165	2xLMifQCjDGFmkHkpNLD9h
44	spotify:track:4HUZBG98TYbxSR9V1V2DWS	Thiaguinho MT, Mila, JS o Mão de Ouro	Tudo Ok	Sony Music Entertainment	1	43	122	183349	4HUZBG98TYbxSR9V1V2DWS
45	spotify:track:17Ryox5vWKp92IDW87C5PI	Gusttavo Lima	Quem Traiu Levou - Ao Vivo	Sony Music Entertainment	14	45	231	182428	17Ryox5vWKp92IDW87C5PI
46	spotify:track:5fY9bVl1Wj4PIM3wnduWop	Marília Mendonça	Serenata - Ao Vivo	Som Livre	14	47	349	177950	5fY9bVl1Wj4PIM3wnduWop
47	spotify:track:72xB2J9ZeBl0Rzxq2XmzdY	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	2	46	542	176986	72xB2J9ZeBl0Rzxq2XmzdY
48	spotify:track:6QwFUcPc5nhsqZuhXUYtV7	Jorge & Mateus	Tijolão - Ao Vivo	Som Livre	1	48	342	174108	6QwFUcPc5nhsqZuhXUYtV7
49	spotify:track:3ZROq16fQ1o2dWEGkHPHkJ	Yasmin Santos, Wesley Safadão	Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo	Sony Music Entertainment	30	49	226	171748	3ZROq16fQ1o2dWEGkHPHkJ
50	spotify:track:5F8ffc8KWKNawllr5WsW0r	Dadá Boladão, Tati Zaqui, OIK	Surtada - Remix Brega Funk	Sony Music Entertainment	1	50	213	171411	5F8ffc8KWKNawllr5WsW0r
51	spotify:track:1MmS7UIy3J1BTxfGCRvVqN	Gusttavo Lima	Carreira Solo - Ao Vivo	Sony Music Entertainment	21	51	181	161868	1MmS7UIy3J1BTxfGCRvVqN
52	spotify:track:7vpGKEUPrA4UEsS4o4W1tP	Pabllo Vittar	Amor de Que	Sony Music Entertainment	10	52	181	151674	7vpGKEUPrA4UEsS4o4W1tP
53	spotify:track:3oqC4Ta40ft6NnTJwcUTdi	Rashid, Lukinhas, Emicida	Pipa Voada (feat. Emicida)	Sony Music Entertainment	52	54	53	146835	3oqC4Ta40ft6NnTJwcUTdi
54	spotify:track:5q0NlM6Pm8Pp3orq7zGiRn	Matheus & Kauan, Jorge & Mateus	Quarta Cadeira - Ao Vivo	Universal Music Ltda.	9	53	405	145710	5q0NlM6Pm8Pp3orq7zGiRn
55	spotify:track:1U3tv41tFRgOfbytpuYQrR	Zé Neto & Cristiano	Ferida Curada	Som Livre	4	58	286	144728	1U3tv41tFRgOfbytpuYQrR
56	spotify:track:1Nmcs8zk7LfcvHRgLtTM5J	Orochi, Papatinho	Amor de Fim de Noite	Mainstreet Records	47	61	165	143525	1Nmcs8zk7LfcvHRgLtTM5J
57	spotify:track:1AfNdxHdE4OLcnQUyC6j3i	MC JottaPê, MC Kekel, MC Kevinho	Eterna Sacanagem	KondZilla Records	19	59	195	142900	1AfNdxHdE4OLcnQUyC6j3i
58	spotify:track:5n8Y78Pl5q8lqS7sJP61qw	Diego & Arnaldo	Relógio Parado (Ao Vivo)	Sony Music Entertainment	34	56	196	142489	5n8Y78Pl5q8lqS7sJP61qw
59	spotify:track:3Dv1eDb0MEgF93GpLXlucZ	Doja Cat	Say So	Kemosabe Records/RCA Records	51	60	67	142338	3Dv1eDb0MEgF93GpLXlucZ
60	spotify:track:2uhBCMHwS3SATOHIgM2KPF	Zé Neto & Cristiano	Textão - Ao Vivo	Som Livre	44	55	62	141695	2uhBCMHwS3SATOHIgM2KPF
61	spotify:track:3AzjcOeAmA57TIOr9zF1ZW	Dua Lipa	Physical	Warner Records	11	57	87	141327	3AzjcOeAmA57TIOr9zF1ZW
62	spotify:track:3eekarcy7kvN4yt5ZFzltW	Travis Scott	HIGHEST IN THE ROOM	Cactus Jack / Epic	35	63	114	131132	3eekarcy7kvN4yt5ZFzltW
63	spotify:track:48CAeajgzcGJaVUSsXd7h0	Guilherme & Benuto, Israel & Rodolffo	Declaração pro Bar - Ao Vivo	Sony Music Entertainment	53	66	74	130434	48CAeajgzcGJaVUSsXd7h0
64	spotify:track:2rRJrJEo19S2J82BDsQ3F7	Trevor Daniel	Falling	Alamo	51	64	139	129741	2rRJrJEo19S2J82BDsQ3F7
65	spotify:track:79BHjj4YkvbpOlMvG6wf3n	Luan Santana	boa memória - ao vivo	Som Livre	49	62	18	129455	79BHjj4YkvbpOlMvG6wf3n
66	spotify:track:23zmMwD99ROi9yhxqMxWil	João Bosco & Vinicius, Matheus	Segunda Taça - Ao Vivo	João Bosco & Vinicius	54	67	69	128278	23zmMwD99ROi9yhxqMxWil
67	spotify:track:5MArTXEVyKBwoodjdy04fk	Zé Felipe, Gusttavo Lima	Tiro Certo - Ao Vivo	Som Livre	14	68	321	128148	5MArTXEVyKBwoodjdy04fk
68	spotify:track:7CHi4DtfK4heMlQaudCuHK	MEDUZA, Becky Hill, Goodboys	Lose Control	Virgin	53	65	146	126407	7CHi4DtfK4heMlQaudCuHK
69	spotify:track:14kRWkCWBYfQqILflEcpSJ	Lexa, PEDRO SAMPAIO	Chama Ela (feat. Pedro Sampaio)	Som Livre	5	69	218	126165	14kRWkCWBYfQqILflEcpSJ
70	spotify:track:3vSXPjfcebTt5mB8DXHWM6	Wesley Safadão	Dois Lados	Som Livre	37	73	265	125815	3vSXPjfcebTt5mB8DXHWM6
71	spotify:track:7qpXCkcr3Zj4LDvdiWryns	Diego & Victor Hugo	Erro Antigo - Ao Vivo	Sony Music Entertainment	53	70	97	125145	7qpXCkcr3Zj4LDvdiWryns
72	spotify:track:6sRLrSetyIwIKhW1eMlUNP	Matheus & Kauan, Marília Mendonça	Vou Ter Que Superar - Ao Vivo	Universal Music Ltda.	2	74	405	124626	6sRLrSetyIwIKhW1eMlUNP
73	spotify:track:6toDZSoqG5QUitFsoxavRy	Vitão, Anitta	Complicado	Universal Music Ltda.	8	75	209	124033	6toDZSoqG5QUitFsoxavRy
74	spotify:track:22rcaYTa2UgcLCbeO0NoNj	Priscilla Alcantara, Whindersson Nunes	Girassol	Sony Music Entertainment	5	72	140	123015	22rcaYTa2UgcLCbeO0NoNj
75	spotify:track:159ntSAEWJ9zIMOSXmQ530	Luan Santana	choque térmico - ao vivo	Som Livre	11	71	251	121959	159ntSAEWJ9zIMOSXmQ530
76	spotify:track:7qEHsqek33rTcFNT9PFqLf	Lewis Capaldi	Someone You Loved	Vertigo Berlin	60	76	245	118831	7qEHsqek33rTcFNT9PFqLf
77	spotify:track:6v3KW9xbzN5yKLt9YKDYA2	Shawn Mendes, Camila Cabello	Señorita	Island Records	2	77	314	118286	6v3KW9xbzN5yKLt9YKDYA2
